m,log.like,AIC,BIC,MSPE,CT
21,-1904.765,3851.529,3929.309,0.536362,1.5235
21,-2023.742,4089.483,4167.263,1.162126,1.958
21,-2208.08,4458.161,4535.94,1.041639,1.5895
21,-1959.326,3960.651,4038.431,1.352555,1.4355
21,-2057.879,4157.758,4235.537,0.9742954,1.705
21,-1902.675,3847.349,3925.129,1.040993,1.397
21,-2180.315,4402.63,4480.409,1.86156,1.573
21,-2148.562,4339.125,4416.904,1.375608,1.7765
21,-2260.606,4563.212,4640.991,1.45445,1.342
21,-1970.689,3983.378,4061.157,1.358794,1.672
21,-2217.122,4476.244,4554.023,1.830163,1.7545
21,-1880.458,3802.916,3880.696,0.6677461,1.6555
21,-2099.911,4241.823,4319.602,1.250028,1.683
21,-1587.371,3216.741,3294.521,0.9271503,1.727
21,-2423.201,4888.401,4966.181,1.597701,1.5235
21,-2016.083,4074.165,4151.945,1.242073,1.485
21,-2173.552,4389.103,4466.883,1.732907,1.5455
21,-2150.376,4342.752,4420.532,0.9859056,1.947
21,-2347.111,4736.222,4814.002,2.809731,1.617
21,-1541.241,3124.483,3202.262,0.98172,1.7215
21,-2249.795,4541.59,4619.369,1.564827,1.6335
21,-1832.596,3707.191,3784.971,0.8730403,1.5235
21,-2089.344,4220.689,4298.468,1.595976,1.771
21,-2300.38,4642.759,4720.539,2.000587,1.606
21,-2155.778,4353.556,4431.335,1.664065,1.705
21,-2002.668,4047.335,4125.115,1.983044,1.683
21,-2167.489,4376.977,4454.757,1.072994,1.7325
21,-2086.454,4214.907,4292.687,2.256103,1.3585
21,-2313.749,4669.497,4747.277,1.812623,1.6885
21,-2130.03,4302.061,4379.84,2.370841,1.6885
21,-2015.446,4072.893,4150.672,1.466206,1.947
21,-2159.281,4360.561,4438.341,1.123374,1.617
21,-2160.057,4362.113,4439.893,1.342739,1.804
21,-2113.293,4268.585,4346.365,1.38821,1.7545
21,-2044.852,4131.705,4209.484,1.728566,1.6115
21,-2112.237,4266.474,4344.253,1.063581,1.749
21,-2355.107,4752.214,4829.994,2.504163,1.617
21,-2121.095,4284.189,4361.969,1.269888,1.6225
21,-1903.901,3849.803,3927.582,1.118773,1.5785
21,-2037.876,4117.752,4195.532,1.327014,2.0845
21,-2086.823,4215.645,4293.425,0.9975426,1.738
21,-2210.399,4462.798,4540.578,0.9550376,2.046
21,-2093.833,4229.666,4307.445,2.149634,1.375
21,-2063.363,4168.727,4246.506,1.438327,1.6445
21,-2304.915,4651.831,4729.61,1.679254,1.639
21,-2128.611,4299.223,4377.002,1.751926,1.661
21,-1779.252,3600.504,3678.283,1.02142,1.4795
21,-2127.736,4297.473,4375.252,1.649361,1.8645
21,-1769.983,3581.966,3659.745,0.9091803,1.4795
21,-1793.237,3628.475,3706.254,0.8247007,1.5125
21,-1521.333,3084.667,3162.446,0.529412,1.606
21,-2207.567,4457.134,4534.913,1.677398,1.5565
21,-2144.667,4331.334,4409.113,2.291615,1.727
21,-1583.748,3209.497,3287.276,0.7719271,1.771
21,-2212.496,4466.992,4544.772,1.607359,1.804
21,-1908.551,3859.102,3936.882,1.217673,1.6995
21,-2258.254,4558.509,4636.288,1.588949,1.5455
21,-2188.622,4419.244,4497.024,2.400955,1.7545
21,-2002.987,4047.975,4125.754,1.219529,2.0295
21,-2300.718,4643.437,4721.216,2.186973,1.551
21,-1712.047,3466.094,3543.874,0.6273222,1.617
21,-2373.481,4788.961,4866.741,1.38014,1.694
21,-2149.633,4341.265,4419.045,1.391671,1.485
21,-2272.142,4586.284,4664.063,1.700241,1.727
21,-2260.984,4563.969,4641.748,1.676277,1.694
21,-1893.411,3828.823,3906.602,1.258807,1.573
21,-1792.284,3626.569,3704.348,1.010117,1.606
21,-2415.652,4873.305,4951.084,1.763359,1.639
21,-1774.154,3590.309,3668.088,0.8932681,1.628
21,-1952.859,3947.717,4025.497,1.236884,1.716
21,-2335.943,4713.886,4791.666,1.623582,1.716
21,-2096.889,4235.778,4313.558,1.702372,1.4795
21,-1971.948,3985.896,4063.676,1.777202,1.7435
21,-2181.615,4405.229,4483.009,1.16476,1.5455
21,-2067.195,4176.389,4254.169,0.9704071,1.6885
21,-2268.411,4578.822,4656.601,1.584892,1.8095
21,-2297.207,4636.413,4714.193,1.471126,1.7435
21,-2194.283,4430.567,4508.346,1.352742,1.3695
21,-2131.179,4304.357,4382.137,1.623564,1.9085
21,-1978.921,3999.842,4077.622,1.075018,1.8755
21,-2084.276,4210.552,4288.331,1.259055,1.5895
21,-2291.292,4624.584,4702.363,1.387514,1.749
21,-1951.169,3944.337,4022.116,1.155514,1.6995
21,-2232.904,4507.808,4585.587,1.535736,1.6555
21,-2262.95,4567.9,4645.679,2.390187,1.7545
21,-2128.007,4298.014,4375.794,1.747088,1.7765
21,-2174.503,4391.006,4468.786,1.911518,1.76
21,-2221.139,4484.278,4562.058,2.310833,1.694
21,-1579.707,3201.414,3279.193,0.8995567,1.5895
21,-1660.147,3362.294,3440.074,0.7608796,1.496
21,-1931.86,3905.721,3983.5,1.211613,1.8205
21,-2038.719,4119.437,4197.217,1.857807,1.8315
21,-2292.729,4627.458,4705.237,1.725458,1.595
21,-2307.212,4656.423,4734.203,1.450385,1.7105
21,-2223.216,4488.432,4566.211,1.267547,1.9525
21,-1988.395,4018.789,4096.569,1.921708,1.8095
21,-2049.411,4140.821,4218.601,1.149441,1.8205
21,-2068.057,4178.114,4255.894,1.191511,1.815
21,-2228.139,4498.279,4576.058,1.643025,1.76
21,-2299.463,4640.926,4718.705,1.560398,1.65
