"m","log.like","AIC","BIC","MSPE","CT"
20,-1903.735,3847.471,3921.546,1.283482,0.24
20,-2002.951,4045.903,4119.978,1.703775,0.25
20,-1869.401,3778.802,3852.878,1.68694,0.17
20,-1877.928,3795.855,3869.931,1.501124,0.2
20,-1864.177,3768.354,3842.43,2.0391,0.22
20,-1993.905,4027.81,4101.885,1.825651,0.21
20,-1437.56,2915.12,2989.196,0.9853374,0.22
20,-1520.451,3080.901,3154.977,0.8429196,0.22
20,-1849.701,3739.401,3813.477,1.515867,0.22
20,-2011.484,4062.969,4137.044,1.722322,0.22
20,-1559.226,3158.451,3232.527,1.383762,0.2
20,-1652.008,3344.017,3418.093,0.7500492,0.19
20,-1676.418,3392.836,3466.912,1.17488,0.22
20,-1708.984,3457.968,3532.043,1.298702,0.22
20,-1691.941,3423.881,3497.957,1.527532,0.2
20,-1646.928,3333.856,3407.932,1.256443,0.12
20,-1817.342,3674.685,3748.76,1.491847,0.19
20,-1905.744,3851.489,3925.564,1.495136,0.19
20,-1746.66,3533.321,3607.396,1.10192,0.11
20,-1635.001,3310.002,3384.078,0.9312182,0.22
20,-1925.226,3890.453,3964.529,1.639211,0.22
20,-1823.077,3686.154,3760.229,1.728555,0.18
20,-1697.486,3434.971,3509.047,0.9055546,0.2
20,-1854.458,3748.916,3822.992,1.536286,0.22
20,-1645.368,3330.735,3404.811,1.350505,0.22
20,-1926.392,3892.784,3966.859,2.100865,0.22
20,-1864.984,3769.968,3844.044,1.437785,0.2
20,-1831.32,3702.639,3776.715,1.541719,0.22
20,-2029.966,4099.931,4174.007,2.091548,0.22
20,-1631.136,3302.273,3376.348,0.8020324,0.22
20,-1523.692,3087.384,3161.459,0.7476406,0.19
20,-2108.426,4256.852,4330.927,3.117356,0.19
20,-1630.987,3301.974,3376.05,1.339762,0.22
20,-1826.916,3693.831,3767.907,1.441258,0.22
20,-1330.818,2701.637,2775.712,0.8755121,0.2
20,-2049.731,4139.461,4213.537,1.909644,0.22
20,-1630.334,3300.667,3374.743,1.196812,0.21
20,-1771.964,3583.929,3658.005,1.393186,0.17
20,-1604.168,3248.336,3322.411,2.171742,0.08
20,-1686.952,3413.904,3487.979,1.242135,0.19
20,-1862.54,3765.08,3839.155,1.460834,0.19
20,-1824.65,3689.301,3763.376,1.347992,0.18
20,-1710.088,3460.176,3534.251,1.198925,0.23
20,-1976.226,3992.451,4066.527,1.846938,0.2
20,-1566.429,3172.858,3246.934,0.9595534,0.24
20,-1723.363,3486.727,3560.802,1.357966,0.22
20,-1699.564,3439.128,3513.203,1.795238,0.22
20,-1996.954,4033.909,4107.984,1.707486,0.22
20,-1807.115,3654.23,3728.306,1.329415,0.24
20,-1736.571,3513.142,3587.217,1.117525,0.19
20,-1468.13,2976.261,3050.336,0.8451906,0.21
20,-1775.742,3591.484,3665.56,1.613995,0.19
20,-1874.916,3789.831,3863.907,1.829467,0.23
20,-1862.657,3765.315,3839.391,1.296052,0.2
20,-1804.133,3648.266,3722.341,1.37924,0.21
20,-1607.645,3255.29,3329.366,1.116526,0.24
20,-1696.359,3432.718,3506.794,1.180267,0.18
20,-1798.115,3636.23,3710.306,1.238624,0.18
20,-1835.41,3710.82,3784.896,2.049818,0.23
20,-1532.8,3105.6,3179.676,1.31383,0.21
20,-1377.996,2795.992,2870.068,1.136151,0.22
20,-1887.883,3815.766,3889.841,1.990172,0.22
20,-1980.489,4000.978,4075.054,2.107345,0.22
20,-1902.036,3844.072,3918.148,1.909735,0.34
20,-1293.492,2626.985,2701.06,0.5539724,0.25
20,-1669.229,3378.459,3452.534,0.8821272,0.36
20,-1499.379,3038.758,3112.833,1.136482,0.21
20,-2003.076,4046.152,4120.228,1.663214,0.2
20,-1870.489,3780.978,3855.053,1.832341,0.2
20,-1889.709,3819.419,3893.494,1.897359,0.22
20,-1608.208,3256.417,3330.493,1.577133,0.21
20,-1864.814,3769.627,3843.703,1.555335,0.22
20,-1933.967,3907.934,3982.009,1.246207,0.22
20,-1853.922,3747.844,3821.92,1.736617,0.22
20,-1942.097,3924.194,3998.27,1.385359,0.2
20,-1514.452,3068.904,3142.98,0.5268284,0.25
20,-1752.131,3544.261,3618.337,1.273323,0.21
20,-1797.563,3635.125,3709.201,1.223423,0.22
20,-1667.131,3374.263,3448.339,1.369289,0.19
20,-1904.349,3848.698,3922.774,1.583917,0.2
20,-1856.619,3753.237,3827.313,1.519782,0.22
20,-1684.834,3409.668,3483.744,0.9357386,0.22
20,-1795.347,3630.693,3704.769,1.443751,0.25
20,-1752.503,3545.007,3619.082,1.018925,0.24
20,-1942.786,3925.571,3999.647,2.07269,0.22
20,-2054.756,4149.512,4223.588,2.831898,0.22
20,-1797.774,3635.549,3709.624,1.521416,0.22
20,-1948.497,3936.994,4011.07,2.11029,0.18
20,-2062.628,4165.256,4239.331,1.702103,0.22
20,-1695.257,3430.514,3504.59,1.259959,0.24
20,-2119.022,4278.044,4352.12,2.583402,0.2
20,-1814.757,3669.513,3743.589,1.271086,0.22
20,-2002.162,4044.323,4118.399,2.24004,0.2
20,-1893.196,3826.392,3900.468,1.407602,0.2
20,-1844.574,3729.147,3803.223,1.197893,0.21
20,-1953.063,3946.127,4020.202,2.118818,0.17
20,-1800.139,3640.278,3714.354,1.392083,0.21
20,-1868.54,3777.08,3851.155,1.909912,0.21
20,-1918.029,3876.057,3950.133,1.763488,0.22
20,-1793.275,3626.549,3700.625,1.16631,0.22
