"m","log.like","AIC","BIC","MSPE","CT"
22,-1049.982,2143.963,2225.447,1.327157,22.839
22,-1464.063,2972.125,3053.608,1.234534,19.9755
22,-1621.1,3286.2,3367.683,1.40441,16.3116
22,-1370.129,2784.258,2865.742,1.077604,18.975
22,-1470.743,2985.485,3066.968,1.012797,19.7616
22,-1537.681,3119.361,3200.845,1.72331,17.3811
22,-1681.809,3407.618,3489.101,1.588378,21.0105
22,-1733.55,3511.1,3592.583,1.785981,18.2298
22,-1676.962,3397.923,3479.406,1.642922,18.2436
22,-1627.346,3298.692,3380.175,1.387258,19.2303
22,-1315.317,2674.634,2756.117,1.304767,23.5014
22,-1347.685,2739.37,2820.853,1.052366,26.5581
22,-1297.721,2639.443,2720.926,0.9297715,25.875
22,-1522.227,3088.454,3169.937,1.166639,26.1579
22,-1421.186,2886.373,2967.856,1.184165,21.7557
22,-1610.853,3265.706,3347.189,1.450873,18.285
22,-1501.061,3046.122,3127.605,1.095499,23.9982
22,-1405.975,2855.95,2937.433,1.814878,16.4841
22,-1755.71,3555.42,3636.903,2.225509,19.3752
22,-1372.141,2788.281,2869.764,1.249398,24.2811
22,-1588.603,3221.206,3302.689,1.405748,22.2732
22,-1564.854,3173.707,3255.19,1.641104,20.0307
22,-1512.383,3068.766,3150.249,1.263302,23.1012
22,-1634.795,3313.589,3395.073,1.766483,28.9869
22,-1379.89,2803.78,2885.263,1.029065,23.6325
22,-1691.439,3426.877,3508.36,1.643621,22.7493
22,-1725.328,3494.656,3576.139,1.955168,18.9612
22,-1560.57,3165.14,3246.623,1.454687,18.0435
22,-1344.548,2733.096,2814.579,1.123505,22.6458
22,-1684.624,3413.247,3494.73,1.845103,18.9888
22,-1523.969,3091.938,3173.421,1.956256,18.9405
22,-1434.736,2913.472,2994.955,1.406395,29.1111
22,-1499.822,3043.644,3125.127,1.640155,20.8932
22,-1255.543,2555.086,2636.569,0.8000076,22.5837
22,-1528.038,3100.076,3181.559,1.961652,20.2377
22,-1630.292,3304.583,3386.067,2.085705,16.1115
22,-1733.492,3510.984,3592.467,1.625508,19.7202
22,-1710.547,3465.094,3546.577,1.406863,22.0662
22,-1640.735,3325.471,3406.954,1.543886,18.9888
22,-1731.988,3507.976,3589.459,1.857907,21.114
22,-1648.963,3341.926,3423.409,1.191731,22.7493
22,-1571.653,3187.306,3268.79,1.513709,25.6611
22,-1483.347,3010.695,3092.178,1.572351,25.2264
22,-1449.181,2942.361,3023.845,1.416235,21.2934
22,-1731.257,3506.513,3587.996,2.309071,18.5265
22,-1646.58,3337.159,3418.643,3.228645,18.4575
22,-1610.283,3264.566,3346.049,1.868835,14.7246
22,-1646.433,3336.866,3418.349,1.964668,22.0662
