"m","log.like","AIC","BIC","MSPE","CT"
19,-4851.708,9741.417,9824.959,2.088348,0.1656
19,-4900.709,9839.418,9922.959,2.622155,0.1863
19,-3974.021,7986.041,8069.583,1.113079,0.2277
19,-4456.69,8951.381,9034.922,1.761354,0.1932
19,-4529.787,9097.574,9181.116,1.386192,0.1932
19,-4484.34,9006.679,9090.221,1.368695,0.2139
19,-4927.053,9892.107,9975.648,2.34345,0.3105
19,-4652.009,9342.017,9425.559,1.397111,0.3105
19,-4475.734,8989.467,9073.009,1.624944,0.2208
19,-4645.741,9329.483,9413.025,1.943425,0.2553
19,-4520.352,9078.704,9162.246,1.996374,0.2622
19,-3878.933,7795.867,7879.409,1.530967,0.2277
19,-4151.512,8341.024,8424.565,1.670348,0.2139
19,-4149.823,8337.646,8421.187,1.043866,0.2553
19,-4564.008,9166.017,9249.558,1.540992,0.2139
19,-4418.29,8874.581,8958.123,1.099013,0.2277
19,-4910.333,9858.666,9942.207,2.162614,0.2139
19,-4183.566,8405.132,8488.674,1.084088,0.207
19,-4469.117,8976.234,9059.776,1.590189,0.2484
19,-4343.53,8725.061,8808.603,1.094399,0.2622
19,-4453.464,8944.928,9028.47,1.303094,0.2346
19,-4057.037,8152.074,8235.615,1.550581,0.2277
19,-4030.746,8099.493,8183.034,1.371302,0.276
19,-3639.513,7317.025,7400.567,0.7262743,0.2829
19,-3585.856,7209.711,7293.253,1.030103,0.2277
19,-5004.792,10047.58,10131.13,2.407287,0.2208
19,-4527.545,9093.089,9176.631,2.199628,0.2898
19,-4571.775,9181.55,9265.092,1.715918,0.2484
19,-3405.123,6848.246,6931.788,0.9749394,0.0966
19,-4200.311,8438.623,8522.165,1.07175,0.2691
19,-3996.51,8031.019,8114.561,0.8281343,0.2691
19,-3972.276,7982.553,8066.094,1.01806,0.2691
19,-4691.787,9421.574,9505.116,1.91155,0.2139
19,-4150.482,8338.965,8422.507,1.107301,0.2553
19,-4460.882,8959.764,9043.306,1.412636,0.2277
19,-3974.933,7987.865,8071.407,1.035125,0.2277
19,-4023.179,8084.358,8167.899,1.433192,0.2208
19,-4452.614,8943.227,9026.769,1.53483,0.2208
19,-4400.215,8838.431,8921.972,2.85401,0.2829
19,-5025.978,10089.96,10173.5,1.850797,0.207
19,-3929.686,7897.373,7980.915,1.15438,0.2277
19,-5001.972,10041.94,10125.49,3.600902,0.2001
19,-4287.665,8613.329,8696.871,1.349511,0.1794
19,-4653.877,9345.754,9429.296,1.807229,0.2139
19,-4350.356,8738.713,8822.254,1.037835,0.2967
19,-4271.824,8581.647,8665.189,1.460355,0.2829
19,-4319.56,8677.12,8760.661,1.750641,0.276
19,-4101.547,8241.095,8324.637,1.826496,0.2553
19,-4140.162,8318.324,8401.866,1.147841,0.3243
19,-4350.198,8738.395,8821.937,1.324135,0.207
19,-4166.927,8371.855,8455.397,1.666398,0.2415
19,-4527.996,9093.991,9177.533,1.686372,0.2691
19,-3656.49,7350.981,7434.522,0.6525809,0.2829
19,-4565.412,9168.823,9252.365,2.1295,0.0552
19,-3977.245,7992.49,8076.032,0.9293663,0.1932
19,-4331.803,8701.605,8785.147,1.35236,0.1794
19,-4299.156,8636.312,8719.854,1.620488,0.1725
19,-4565.788,9169.576,9253.118,1.675339,0.1518
19,-4124.586,8287.172,8370.714,1.663515,0.1725
19,-4358.814,8755.629,8839.17,1.688296,0.2139
19,-4109.419,8256.838,8340.38,1.101772,0.1725
19,-4419.904,8877.808,8961.35,1.443053,0.2208
19,-4102.846,8243.692,8327.233,0.9047463,0.2001
19,-2670.065,5378.13,5461.672,1.34993,0.2208
19,-4605.87,9249.74,9333.282,1.312842,0.1932
19,-4167.076,8372.152,8455.694,2.443806,0.2691
19,-4482.438,9002.875,9086.417,2.024687,0.2691
19,-3747.792,7533.584,7617.125,1.058926,0.276
19,-3604.358,7246.717,7330.258,1.751765,0.1311
19,-4126.266,8290.533,8374.074,1.159891,0.2484
19,-3962.744,7963.488,8047.03,1.218999,0.2415
19,-4247.879,8533.757,8617.299,1.104716,0.3174
19,-4185.573,8409.145,8492.687,1.178805,0.207
