"m","log.like","AIC","BIC","MSPE","CT"
22,-5851.838,11747.68,11853.33,1.033101,3480.4307
22,-6848.72,13741.44,13847.09,2.182773,3457.531
22,-6238.374,12520.75,12626.4,1.493282,3585.1269
22,-5999.994,12043.99,12149.64,1.088617,3450.0361
22,-5592.395,11228.79,11334.44,1.246505,3433.7349
22,-5701.116,11446.23,11551.88,1.182772,3455.8461
22,-6348.91,12741.82,12847.47,1.699747,2279.3377
22,-5614.259,11272.52,11378.17,0.8576072,3542.5479
22,-6473.51,12991.02,13096.67,1.667952,3445.5873
22,-6127.536,12299.07,12404.72,1.243544,3459.4649
22,-6485.152,13014.3,13119.96,1.802003,3428.5474
22,-5934.214,11912.43,12018.08,1.375573,3427.7174
22,-6033.375,12110.75,12216.4,1.56411,3476.0981
22,-5857.841,11759.68,11865.33,0.8722732,3421.8576
22,-6286.239,12616.48,12722.13,2.075823,2348.5763
22,-5959.764,11963.53,12069.18,1.645075,3442.6989
22,-6569.903,13183.81,13289.46,1.633761,3432.6061
22,-5995.454,12034.91,12140.56,1.700339,2799.7726
22,-5499.681,11043.36,11149.02,1.256465,4212.1172
22,-6390.703,12825.41,12931.06,1.974986,3477.0277
22,-6182.155,12408.31,12513.96,1.694914,3889.4547
22,-5853.357,11750.71,11856.37,1.056629,4214.74
22,-5945.975,11935.95,12041.6,1.402225,3437.0964
22,-5640.351,11324.7,11430.35,1.111827,2975.5998
22,-4464.906,8973.812,9079.465,0.7408339,2931.1699
22,-5607.861,11259.72,11365.38,1.304172,3472.554
22,-6033.149,12110.3,12215.95,1.462744,3435.0463
22,-6177.349,12398.7,12504.35,1.425655,4208.8387
22,-5392.472,10828.94,10934.6,1.022524,3434.8305
22,-5677.253,11398.51,11504.16,1.551062,3764.9464
22,-6515.806,13075.61,13181.26,1.646134,3566.4104
22,-6022.502,12089,12194.66,1.172124,3462.262
22,-6671.596,13387.19,13492.85,1.806595,2905.2656
22,-5602.789,11249.58,11355.23,1.032168,2864.7865
22,-5504.01,11052.02,11157.67,1.265811,3928.0829
22,-6187.426,12418.85,12524.51,1.126352,4212.416
