"m","log.like","AIC","BIC","MSPE","CT"
21,-3889.971,7821.941,7922.791,0.6820249,2.58
21,-5197.122,10436.24,10537.09,1.359054,4.92
21,-5542.757,11127.51,11228.36,1.883905,2.48
21,-5564.782,11171.56,11272.41,2.136105,2.5
21,-5525.851,11093.7,11194.55,1.884134,2.63
21,-5145.095,10332.19,10433.04,1.667731,2.5
21,-4662.238,9366.476,9467.326,0.9824637,2.42
21,-4963.076,9968.152,10069,1.340515,2.44
21,-5320.168,10682.34,10783.19,2.076197,2.41
21,-4978.983,9999.966,10100.82,1.389441,2.48
21,-4932.64,9907.281,10008.13,1.559921,2.47
21,-4810.623,9663.246,9764.096,1.164807,2.63
21,-4885.124,9812.248,9913.098,1.234508,2.55
21,-4954.709,9951.419,10052.27,1.461801,2.4
21,-5061.974,10165.95,10266.8,1.370815,2.31
21,-4347.398,8736.796,8837.646,1.2816,2.56
21,-4629.75,9301.499,9402.349,1.225612,2.48
21,-5113.074,10268.15,10369,1.528463,2.6
21,-4378.111,8798.222,8899.072,0.8973002,2.45
21,-5117.246,10276.49,10377.34,1.590645,2.53
21,-5045.291,10132.58,10233.43,1.606827,2.47
21,-5071.062,10184.12,10284.97,1.53588,2.53
21,-5215.271,10472.54,10573.39,1.962662,2.36
21,-4947.376,9936.752,10037.6,1.505084,2.49
21,-5261.168,10564.34,10665.19,1.53258,2.44
21,-4787.999,9617.998,9718.849,1.373327,2.56
21,-4609.988,9261.976,9362.826,0.8915265,2.42
21,-4885.731,9813.462,9914.312,1.428267,2.58
21,-5227.105,10496.21,10597.06,2.07217,2.62
21,-5374.754,10791.51,10892.36,1.730092,2.58
21,-4043.877,8129.753,8230.604,1.049892,2.47
21,-5317.661,10677.32,10778.17,1.768923,2.39
21,-4803.681,9649.361,9750.212,1.605029,2.41
21,-5185.133,10412.27,10513.12,2.046851,2.56
21,-5080.983,10203.97,10304.82,1.47493,2.48
21,-4982.438,10006.88,10107.73,1.505477,2.5
21,-5107.04,10256.08,10356.93,2.006344,2.35
21,-5008.607,10059.21,10160.06,1.389161,2.49
21,-5295.3,10632.6,10733.45,1.644833,2.45
21,-5190.672,10423.34,10524.19,1.56287,2.33
21,-4467.027,8976.055,9076.905,1.34,2.39
21,-5292.27,10626.54,10727.39,2.144055,2.46
21,-4963.902,9969.804,10070.65,2.685811,2.45
21,-5204.406,10450.81,10551.66,1.435546,2.45
21,-4675.354,9392.708,9493.558,1.091815,2.41
21,-3506.762,7055.524,7156.374,1.096789,2.51
21,-4656.318,9354.636,9455.486,1.146268,2.49
21,-5079.665,10201.33,10302.18,1.911293,2.46
21,-5103.755,10249.51,10350.36,1.775185,2.47
21,-3388.656,6819.312,6920.162,0.5955208,2.51
21,-4243.294,8528.588,8629.439,1.386641,2.46
21,-5002.53,10047.06,10147.91,1.215682,2.47
21,-5537.08,11116.16,11217.01,1.778897,2.44
21,-4966.188,9974.376,10075.23,1.307262,2.44
21,-5418.787,10879.57,10980.42,1.99554,2.46
21,-5713.532,11469.06,11569.91,2.056366,2.55
21,-4903.449,9848.898,9949.749,1.631533,2.6
21,-5186.111,10414.22,10515.07,1.770992,2.37
21,-5420.36,10882.72,10983.57,1.904847,2.31
21,-5600.231,11242.46,11343.31,1.841877,2.5
21,-5133.369,10308.74,10409.59,1.356518,2.58
21,-5408.273,10858.55,10959.4,1.855716,2.47
21,-4685.399,9412.799,9513.649,1.188323,2.52
21,-4872.486,9786.972,9887.822,1.332644,2.42
21,-4833.028,9708.055,9808.905,1.215344,2.52
21,-5541.114,11124.23,11225.08,1.808386,2.5
21,-4852.701,9747.402,9848.252,1.283296,2.68
21,-4863.305,9768.609,9869.46,1.032778,2.48
21,-4859.981,9761.962,9862.813,1.331516,2.5
21,-5095.471,10232.94,10333.79,1.394315,2.5
21,-5002.38,10046.76,10147.61,1.289227,2.49
21,-4961.116,9964.232,10065.08,1.262391,2.5
21,-5355.587,10753.17,10854.02,1.658909,2.36
21,-3792.531,7627.062,7727.912,0.8073888,2.47
21,-3758.374,7558.748,7659.598,1.139075,2.44
21,-4421.148,8884.296,8985.146,0.7418637,2.51
21,-5198.475,10438.95,10539.8,1.765385,2.52
21,-5063.012,10168.02,10268.87,1.728058,2.5
21,-5169.896,10381.79,10482.64,1.730802,2.47
21,-5347.109,10736.22,10837.07,1.905872,2.58
21,-4988.463,10018.93,10119.78,1.580979,2.46
21,-4376.527,8795.053,8895.903,0.8842726,2.6
21,-4791.29,9624.58,9725.431,2.297965,2.48
21,-4758.63,9559.26,9660.111,1.241325,2.44
21,-4609.738,9261.476,9362.326,1.293053,2.47
21,-5447.171,10936.34,11037.19,2.089527,2.52
21,-4903.121,9848.242,9949.093,1.823962,2.47
21,-4305.611,8653.221,8754.071,0.9862616,2.54
21,-5159.483,10360.97,10461.82,1.497173,3.72
21,-3760.442,7562.884,7663.734,0.665227,5.78
21,-4991.845,10025.69,10126.54,1.398609,6.04
21,-5083.063,10208.13,10308.98,1.427752,5.39
21,-5143.36,10328.72,10429.57,1.722244,5.64
21,-4937.356,9916.712,10017.56,1.435083,3.75
21,-4755.542,9553.085,9653.935,1.253579,3.87
21,-5326.982,10695.96,10796.81,1.896596,3.66
21,-4757.051,9556.102,9656.952,4.43323,3.72
21,-4571.482,9184.963,9285.814,1.32682,3.68
21,-3861.822,7765.644,7866.494,0.7421607,3.87
21,-4952.776,9947.552,10048.4,1.306603,3.73
