"n","Measure","mu1","mu2","mu3","mu4","mu5","b11","b21","b31","b41","b51","b12","b22","b32","b42","b52","d11","d22","d33","d44","d55","la11","la21","la12","la22","nu"
"150","STD",0.693,0.614,0.863,1.04,0.892,0.311,0.339,0.181,0.182,0.264,0.43,0.495,0.227,0.242,0.366,2.512,2.897,1.053,1.098,1.52,0.925,1.194,1.241,1.462,0.921
"","IMSE",0.322,0.332,0.14,0.172,0.303,0.152,0.158,0.075,0.061,0.107,0.24,0.26,0.077,0.087,0.162,0.791,0.922,0.065,0.069,0.419,0.26,0.238,0.398,0.525,0.119
"300","STD",0.469,0.533,0.738,0.918,0.702,0.224,0.197,0.105,0.106,0.158,0.302,0.282,0.124,0.138,0.234,1.809,1.863,0.729,0.853,1.356,0.751,0.941,0.926,1.055,0.517
"","IMSE",0.231,0.245,0.092,0.129,0.208,0.101,0.106,0.05,0.037,0.067,0.171,0.187,0.051,0.059,0.114,0.556,0.666,0.037,0.048,0.269,0.155,0.168,0.287,0.412,0.064
"600","STD",0.382,0.348,0.422,0.55,0.464,0.133,0.149,0.072,0.082,0.102,0.194,0.211,0.088,0.107,0.151,1.114,1.244,0.514,0.592,0.808,0.522,0.724,0.616,0.762,0.321
"","IMSE",0.166,0.171,0.062,0.094,0.149,0.07,0.074,0.038,0.024,0.046,0.118,0.13,0.032,0.043,0.077,0.401,0.47,0.023,0.032,0.189,0.082,0.085,0.143,0.203,0.041
"900","STD",0.278,0.289,0.354,0.408,0.355,0.105,0.115,0.065,0.064,0.074,0.15,0.155,0.08,0.082,0.11,1.1,1.073,0.48,0.411,0.687,0.409,0.46,0.537,0.561,0.214
"","IMSE",0.132,0.143,0.052,0.076,0.122,0.056,0.062,0.031,0.019,0.038,0.093,0.106,0.027,0.033,0.062,0.312,0.395,0.02,0.025,0.148,0.065,0.067,0.121,0.168,0.031
"1500","STD",0.207,0.211,0.268,0.325,0.256,0.08,0.088,0.046,0.038,0.065,0.115,0.125,0.056,0.05,0.094,0.777,0.804,0.39,0.417,0.519,0.339,0.38,0.461,0.489,0.18
"","IMSE",0.103,0.11,0.04,0.059,0.094,0.044,0.047,0.024,0.014,0.029,0.072,0.081,0.023,0.025,0.046,0.246,0.309,0.016,0.02,0.115,0.056,0.061,0.104,0.141,0.024
