"Variable","Range","Mean","SD","Skewness","Kurtosis","Missing"
"ALB","20 - 50",38.8,6.885,-0.6672,2.9138,1.33
"ALP","11.3 - 416.6",62.73,59.442,4.0227,23.4105,24
"ALT","0.9 - 258",34.59,46.389,2.4282,9.8635,1.33
"AST","16.7 - 324",89.95,65.94,1.8188,6.388,0
"BIL","5 - 254",32.41,49.325,3.0422,11.7846,0
"CHE","1.42 - 16.41",6.83,3.309,0.0332,2.6834,0
"CHOL","1.43 - 9.67",4.54,1.19,1.0161,6.6871,4
"CREA","45.4 - 1079.1",99.53,135.605,5.8336,39.4544,0
"GGT","11.5 - 650.9",103.68,113.086,2.7724,11.4243,0
"PROT","54.2 - 90",73.28,7.059,-0.4138,3.1721,1.33
