"Model","q","logLik","p","AIC","BIC"
"FA",1,-954.458,30,1968.916,2038.44
"FA",2,-929.31,39,1936.619,2027.001
"FA",3,-913.718,47,1921.436,2030.358
"FA",4,-910.445,54,1928.891,2054.035
"FA",5,-908.903,60,1937.807,2076.856
"tFA",1,-812.762,31,1687.523,1759.365
"tFA",2,-797.35,40,1674.701,1767.4
"tFA",3,-791.423,48,1678.846,1790.086
"tFA",4,-788.461,55,1686.922,1814.384
"tFA",5,-786.845,61,1695.69,1837.057
"rSNFA",1,-946.833,31,1955.667,2027.509
"rSNFA",2,-902.313,41,1886.625,1981.642
"rSNFA",3,-885.621,50,1871.243,1987.117
"rSNFA",4,-882.254,58,1880.508,2014.922
"rSNFA",5,-880.59,65,1891.18,2041.817
"rSTFA",1,-798.204,32,1660.408,1734.568
"rSTFA",2,-773.619,42,1631.237,1728.572
"rSTFA",3,-767.228,51,1636.456,1754.648
"rSTFA",4,-762.89,59,1643.78,1780.512
"rSTFA",5,-753.607,66,1639.214,1792.168
"CFUSTFA",1,-798.378,32,1660.755,1734.915
"CFUSTFA",2,-773.44,42,1630.881,1728.215
"CFUSTFA",3,-739.942,51,1581.884,1700.076
"CFUSTFA",4,-713.571,59,1545.142,1681.874
"CFUSTFA",5,-711.336,66,1554.673,1707.627
