Variable,mu,col1_B,col2_B,col3_B,col4_B,d
ALB,-0.412 (0.584),0.124 (0.049),0.020 (0.070),-0.001 (0.102),0.039 (0.089),0.163 (0.218)
ALP,-0.007 (0.436),-0.030 (0.023),0.051 (0.053),-0.000 (0.086),-0.013 (0.034),0.077 (0.051)
ALT,0.301 (1.615),0.019 (0.096),-0.011 (0.103),-0.230 (0.087),0.017 (0.225),0.003 (0.332)
AST,0.299 (0.997),-0.041 (0.034),0.081 (0.101),-0.038 (0.088),-0.006 (0.110),0.522 (0.460)
BIL,0.360 (0.592),-0.014 (0.034),0.000 (0.095),0.000 (0.062),-0.094 (0.053),0.000 (0.054)
CHE,-0.452 (0.744),0.108 (0.047),0.006 (0.076),0.001 (0.092),0.049 (0.089),0.269 (0.189)
CHOL,-0.303 (0.710),0.068 (0.109),0.012 (0.109),0.013 (0.080),0.013 (0.075),0.616 (0.444)
CREA,-0.175 (0.155),0.003 (0.012),0.008 (0.014),0.000 (0.031),-0.004 (0.012),0.024 (0.013)
GGT,0.166 (0.527),0.002 (0.056),0.175 (0.073),-0.018 (0.053),0.001 (0.035),0.001 (0.186)
PROT,-0.042 (0.923),0.042 (0.036),0.032 (0.107),-0.051 (0.098),0.037 (0.103),0.601 (0.413)
la,-8.707,4.250,-4.647,-8.100,NA,
,(0.665),(0.299),(0.346),(0.500),NA,
nu,,,,,,2.506
,,,,,,(0.054)
