"n","Measure","mu1","mu2","mu3","mu4","mu5","b11","b21","b31","b41","b51","b12","b22","b32","b42","b52","d11","d22","d33","d44","d55","la11","la21","la12","la22","nu"
"150","STD",0.624,0.56,0.812,0.995,0.838,0.296,0.253,0.202,0.219,0.219,0.433,0.365,0.217,0.292,0.327,1.882,2.223,0.814,0.762,1.327,1.187,1.331,1.507,1.759,0.684
"","IMSE",0.792,0.786,0.569,0.806,0.721,1.119,1.11,0.641,0.67,0.888,1.117,1.065,0.599,0.608,0.793,1.915,1.938,0.62,0.596,1.23,1.853,1.695,2.581,3.525,0.921
"300","STD",0.463,0.513,0.718,0.886,0.666,0.208,0.182,0.159,0.11,0.148,0.303,0.261,0.186,0.14,0.215,1.329,1.457,0.628,0.635,0.948,0.963,1.081,1.17,1.365,0.498
"","IMSE",0.538,0.541,0.315,0.513,0.526,0.76,0.778,0.41,0.438,0.64,0.704,0.701,0.419,0.421,0.547,1.203,1.293,0.399,0.389,0.851,1.269,1.127,1.85,2.223,0.536
"600","STD",0.346,0.334,0.412,0.536,0.44,0.133,0.139,0.084,0.08,0.111,0.201,0.213,0.101,0.108,0.158,0.882,1.023,0.504,0.442,0.55,0.604,0.758,0.804,0.865,0.322
"","IMSE",0.34,0.352,0.214,0.354,0.341,0.507,0.524,0.256,0.299,0.428,0.463,0.486,0.251,0.28,0.359,0.802,0.876,0.225,0.262,0.584,0.523,0.382,0.622,0.803,0.363
"900","STD",0.255,0.254,0.333,0.393,0.328,0.108,0.115,0.084,0.058,0.077,0.156,0.158,0.097,0.079,0.112,0.776,0.789,0.365,0.358,0.493,0.507,0.561,0.673,0.699,0.23
"","IMSE",0.291,0.287,0.163,0.285,0.284,0.414,0.427,0.203,0.235,0.358,0.39,0.39,0.212,0.222,0.294,0.642,0.717,0.177,0.206,0.468,0.385,0.292,0.48,0.618,0.28
"1500","STD",0.198,0.188,0.26,0.306,0.242,0.078,0.071,0.058,0.042,0.06,0.117,0.103,0.067,0.057,0.087,0.494,0.576,0.317,0.257,0.394,0.398,0.447,0.486,0.59,0.17
"","IMSE",0.225,0.231,0.114,0.213,0.223,0.319,0.328,0.157,0.18,0.276,0.292,0.303,0.161,0.169,0.219,0.488,0.547,0.131,0.153,0.35,0.295,0.225,0.355,0.467,0.21
