"n","Missing_rate","Criterion","FA","tFA","rSNFA","rSTFA","CFUSTFA"
"900","0.1","AIC.mean",13144.51,12341.88,12930.23,12173.84,12106.08
"","","AIC.sd",829.21,850.59,870.16,882.38,902.09
"","","AIC.freq",0,0,0,1,99
"","","BIC.mean",13235.76,12437.93,13031.08,12279.49,12211.73
"","","BIC.sd",829.21,850.59,870.16,882.38,902.09
"","","BIC.freq",0,0,0,1,99
"","","MSPE.mean",1.453,1.448,1.437,1.453,1.4
"","","MSPE.sd",0.356,0.356,0.354,0.359,0.36
"","","MSPE.freq",5,9,9,5,72
"","","CT.mean",0.174,0.216,1.582,8.702,3624.205
"","","CT.sd",0.04,0.044,0.248,1.789,759.361
"","","CT.freq",95,5,0,0,0
"900","0.2","AIC.mean",11383.83,10735.83,11194.76,10592.9,10537.39
"","","AIC.sd",978.1,972.59,1015.59,1009.53,1029.26
"","","AIC.freq",0,0,0,8,92
"","","BIC.mean",11475.08,10831.88,11295.61,10698.55,10643.04
"","","BIC.sd",978.1,972.59,1015.59,1009.53,1029.26
"","","BIC.freq",0,0,0,8,92
"","","MSPE.mean",1.473,1.468,1.458,1.472,1.431
"","","MSPE.sd",0.354,0.347,0.352,0.353,0.342
"","","MSPE.freq",1,9,18,3,69
"","","CT.mean",0.254,0.306,2.408,13.006,3829.361
"","","CT.sd",0.037,0.041,0.225,2.018,838.774
"","","CT.freq",94,6,0,0,0
"900","0.3","AIC.mean",10052.15,9473.83,9871.76,9332.44,9284.7
"","","AIC.sd",875.32,892.84,922.34,927.44,945.68
"","","AIC.freq",0,0,0,2,98
"","","BIC.mean",10143.4,9569.88,9972.61,9438.09,9390.35
"","","BIC.sd",875.32,892.84,922.34,927.44,945.68
"","","BIC.freq",0,0,0,2,98
"","","MSPE.mean",1.523,1.519,1.517,1.533,1.492
"","","MSPE.sd",0.471,0.469,0.488,0.488,0.493
"","","MSPE.freq",2,9,14,3,72
"","","CT.mean",0.289,0.342,2.739,15.116,4203.302
"","","CT.sd",0.082,0.093,0.743,4.932,1288.17
"","","CT.freq",91,9,0,0,0
